date,account_id,service,region,environment,usage_hours,cpu_utilization,cost
2025-10-01,acct-1,EC2,ap-south-1,prod,24,65,48
2025-10-02,acct-1,EC2,ap-south-1,prod,24,68,50
2025-10-03,acct-1,EC2,ap-south-1,prod,24,70,52
2025-10-04,acct-1,EC2,ap-south-1,prod,24,72,53
2025-10-05,acct-1,EC2,ap-south-1,prod,24,15,160
2025-10-06,acct-1,EC2,ap-south-1,prod,24,18,155
2025-10-07,acct-1,EC2,ap-south-1,prod,24,70,54
2025-10-08,acct-2,RDS,us-east-1,dev,10,40,22
2025-10-09,acct-2,RDS,us-east-1,dev,10,42,23
2025-10-10,acct-2,RDS,us-east-1,dev,10,41,24
2025-10-11,acct-2,RDS,us-east-1,dev,10,12,90
