date,account_id,service,region,environment,usage_hours,cpu_utilization,cost
2025-10-01,acct-1,EC2,ap-south-1,prod,24,65,48
2025-10-02,acct-1,EC2,ap-south-1,prod,24,68,50
2025-10-03,acct-1,EC2,ap-south-1,prod,24,70,52
2025-10-04,acct-1,EC2,ap-south-1,prod,24,72,53
2025-10-05,acct-1,EC2,ap-south-1,prod,24,15,160
2025-10-06,acct-1,EC2,ap-south-1,prod,24,18,155
2025-10-07,acct-1,EC2,ap-south-1,prod,24,70,54
2025-10-08,acct-1,EC2,ap-south-1,prod,24,68,49
2025-10-09,acct-1,EC2,ap-south-1,prod,24,71,51
2025-10-10,acct-1,EC2,ap-south-1,prod,24,69,50
2025-10-11,acct-2,RDS,us-east-1,dev,10,40,22
2025-10-12,acct-2,RDS,us-east-1,dev,10,42,23
2025-10-13,acct-2,RDS,us-east-1,dev,10,41,24
2025-10-14,acct-2,RDS,us-east-1,dev,24,12,90
2025-10-15,acct-2,RDS,us-east-1,dev,10,43,25
2025-10-16,acct-3,Lambda,eu-west-1,prod,8,85,15
2025-10-17,acct-3,Lambda,eu-west-1,prod,8,88,16
2025-10-18,acct-3,Lambda,eu-west-1,prod,8,90,17
2025-10-19,acct-3,Lambda,eu-west-1,prod,8,5,75
2025-10-20,acct-3,Lambda,eu-west-1,prod,8,87,16
2025-10-21,acct-4,S3,ap-south-1,prod,24,0,5
2025-10-22,acct-4,S3,ap-south-1,prod,24,0,6
2025-10-23,acct-4,S3,ap-south-1,prod,24,0,45
2025-10-24,acct-4,S3,ap-south-1,prod,24,0,7
2025-10-25,acct-5,EC2,us-east-1,staging,16,55,35
2025-10-26,acct-5,EC2,us-east-1,staging,16,58,36
2025-10-27,acct-5,EC2,us-east-1,staging,24,25,120
2025-10-28,acct-5,EC2,us-east-1,staging,16,57,37
2025-10-29,acct-6,RDS,us-west-2,prod,24,75,80
2025-10-30,acct-6,RDS,us-west-2,prod,24,8,200
